X,Y,OBJECTID,Fuel_Type_Code,Station_Name,Street_Address,Intersection_Directions,City,State,ZIP,Station_Phone,Expected_Date,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Network,EV_Network_Web,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Federal_Agency_Name,Open_Date,EV_Connector_Types,Access_Code,Access_Detail_Code,Facility_Type,EV_Pricing,EV_On_Site_Renewable_Source
-77.027621,38.8967030000001,1,ELEC,One Parking,555 12th St NW,,Washington,DC,20004,202-393-0649,,Public,"Restricted to garage hours; pay lot; leave key",,1,1,,Non-Networked,,38.896703,-77.027621,2021/12/09 00:00:00+00,43836,2022/02/10 19:42:29,,2012/03/01 00:00:00+00,J1772 NEMA515,public,,PAY_GARAGE,Free,
-76.992381,38.8744150000001,2,ELEC,Washington Navy Yard,1314 Harwood St.,,Washington,DC,20003,855-885-9571,,Public,,,4,4,,OpConnect,http://www.opconnect.com/,38.874415,-76.992381,2022/08/18 00:00:00+00,47194,2022/08/18 01:57:26,,2012/05/09 00:00:00+00,J1772,public,,,,
-77.0439709999999,38.907454,3,ELEC,LENKIN CO 1300 B,1300 19th St NW,,Washington,DC,20036,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.907454,-77.043971,2022/08/18 00:00:00+00,56564,2022/08/18 01:05:36,,2012/01/31 00:00:00+00,J1772,public,,,,
-77.0597319999999,38.90178,4,ELEC,WASH HARBOUR STATION 1,3000 K St NW,,Washington,DC,20007,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.90178,-77.059732,2022/08/18 00:00:00+00,57221,2022/08/18 01:05:19,,2011/12/15 00:00:00+00,J1772,public,,,,
-77.024075,38.900089,5,ELEC,City Center DC,870 9th St NW,"Garage entrance on 9th Street, NW between H St and I St. Located on levels P2 and P3",Washington,DC,20001,202-842-4333,,Public,24 hours daily,,,20,,Non-Networked,,38.900089,-77.024075,2021/10/12 00:00:00+00,61098,2022/02/10 19:42:29,,2014/06/01 00:00:00+00,J1772,public,,PAY_GARAGE,Free,
-77.042898,38.903466,6,ELEC,TOWER COMPANIES 1828 L STREET,1828 L St NW,,Washington,DC,20036,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.903466,-77.042898,2022/08/18 00:00:00+00,64548,2022/08/18 01:05:57,,2014/12/09 00:00:00+00,J1772,public,,,,
-77.039104,38.903979,7,ELEC,TOWER COMPANIES 1707 L STREET 1,1707 L St NW,,Washington,DC,20036,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.903979,-77.039104,2022/08/18 00:00:00+00,64549,2022/08/18 01:00:35,,2014/12/09 00:00:00+00,J1772,public,,,,
-77.084739,38.960472,8,ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,Entrance on Wisconsin Circle,Washington,DC,20015,202-686-5335,,Public,"Restricted to garage hours; pay lot",,4,2,,Non-Networked,,38.960472,-77.084739,2021/12/09 00:00:00+00,65672,2022/02/10 19:42:29,,2013/04/30 00:00:00+00,J1772 NEMA515,public,,PAY_GARAGE,Free,
-77.028757,38.9000280000001,9,ELEC,1212 NEW YORK STATION 1,1212 New York Ave NW,,Washington,DC,20005,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.900028,-77.028757,2022/08/18 00:00:00+00,68205,2022/08/18 00:48:34,,2015/07/10 00:00:00+00,J1772,public,,,,
-77.0196779999999,38.8855990000001,10,ELEC,"CHECK RATES 550 C STREET,SW",550 C St SW,,Washington,DC,20024,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.885599,-77.019678,2022/08/18 00:00:00+00,70598,2022/08/18 00:49:28,,2015/10/21 00:00:00+00,J1772,public,,,,
-77.040063,38.9027740000001,11,ELEC,JBG SMITH 1717K,1717 K St NW,,Washington,DC,20006,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.902774,-77.040063,2022/08/18 00:00:00+00,76344,2022/08/18 00:48:31,,2016/06/17 00:00:00+00,J1772,public,,,,
-77.0380979999999,38.902162,12,ELEC,JBG SMITH 1666K,1666 K St NW,,Washington,DC,20006,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.902162,-77.038098,2022/08/18 00:00:00+00,76345,2022/08/18 00:48:28,,2016/06/17 00:00:00+00,J1772,public,,,,
-77.039946,38.902275,13,ELEC,JBG SMITH 1700K,1700 K St NW,,Washington,DC,20006,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.902275,-77.039946,2022/08/18 00:00:00+00,76346,2022/08/18 00:48:27,,2016/06/17 00:00:00+00,J1772,public,,,,
-77.0069819999999,38.8711640000001,14,ELEC,RIVERFRONT DOCK 79 G2 01,79 Potomac Ave SE,,Washington,DC,20003,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.871164,-77.006982,2022/08/18 00:00:00+00,80503,2022/08/18 00:52:03,,2017/01/05 00:00:00+00,J1772,public,,,,
-77.008022,38.8532420000001,15,ELEC,Anacostia,Joint Base Anacostia-Bolling Chappie James Blvd.,,Washington,DC,20032,855-885-9571,,Public,,,10,10,,OpConnect,http://www.opconnect.com/,38.853242,-77.008022,2022/08/18 00:00:00+00,81775,2022/08/18 01:57:35,,2017/02/01 00:00:00+00,J1772,public,,,,
-77.0483629999999,38.9066720000001,16,ELEC,1255 22ND ST STATION 2,1255 22nd St NW,,Washington,DC,20037,888-758-4389,,Public,24 hours daily,,,1,,ChargePoint Network,http://www.chargepoint.com/,38.906672,-77.048363,2022/08/18 00:00:00+00,94632,2022/08/18 01:00:45,,2018/04/06 00:00:00+00,J1772,public,,,,
-77.0342909999999,38.9048920000001,17,ELEC,Parking Garage,1133 15th St NW,,Washington,DC,20005,866-816-7584,,Public,Garage business hours,,,2,,EV Connect,http://evconnect.com/,38.904892,-77.034291,2020/04/08 00:00:00+00,94807,2021/03/11 23:22:17,,2015/09/27 00:00:00+00,J1772,public,,PAY_GARAGE,,
-77.0453229999999,38.904026,18,ELEC,LAZ Parking,2001 L St,,Washington,DC,20036,866-816-7584,,Public,Garage business hours,,,1,,EV Connect,http://evconnect.com/,38.904026,-77.045323,2020/04/08 00:00:00+00,94810,2021/03/11 23:22:17,,2015/06/19 00:00:00+00,J1772,public,,PAY_GARAGE,,
-77.015436,38.883544,19,ELEC,Capitol View,425 3rd St SW,,Washington,DC,20024,866-816-7584,,Public,"Office business hours; for employee and guest use only",,,1,,EV Connect,http://evconnect.com/,38.883544,-77.015436,2020/04/08 00:00:00+00,94812,2022/04/28 20:01:31,,2015/09/27 00:00:00+00,J1772,public,,OFFICE_BLDG,,
-77.025527,38.8835250000001,20,ELEC,JBG - L'Enfant Plaza - Washington DC,480 L'Enfant Plaza Southwest,,Washington,DC,20024,888-998-2546,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,Blink Network,http://www.blinkcharging.com/,38.883525,-77.025527,2022/08/17 00:00:00+00,95813,2022/08/17 22:55:12,,2014/09/30 00:00:00+00,J1772,public,,,Level 2: $0.55 per kWh,
-77.0022729999999,38.9582550000001,21,ELEC,JBG - Fort Totten Square,300 Riggs Rd NE,,Washington,DC,20011,888-998-2546,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,Blink Network,http://www.blinkcharging.com/,38.958255,-77.002273,2022/08/17 00:00:00+00,96075,2022/08/17 22:55:12,,2016/01/16 00:00:00+00,J1772,public,,,Level 2: $0.55 per kWh,
-76.994702,38.93208,22,ELEC,EAC CHARGER MONROE ST,3415 8th Street NE,,Washington,DC,20017,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.93208,-76.994702,2022/08/18 00:00:00+00,100330,2022/08/18 01:03:24,,2018/08/10 00:00:00+00,J1772,public,,,,
-77.044211,38.903043,23,ELEC,TOWER COMPANIES 1909K STATION 2,1909 K St NWUS-29,,Washington,DC,20006,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.903043,-77.044211,2022/08/18 00:00:00+00,102534,2022/08/18 01:03:53,,2018/08/31 00:00:00+00,J1772,public,,,,
-77.034961,38.903985,24,ELEC,CARR PROPERTIES P2 6540,1100 15th St NW,,Washington,DC,20005,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.903985,-77.034961,2022/08/18 00:00:00+00,104284,2022/08/18 00:56:27,,2018/10/20 00:00:00+00,J1772,public,,,,
-77.080461,38.945542,25,ELEC,AMERICAN UNIV WCL STATION 2,4300 Nebraska Ave NW,,Washington,DC,20016,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.945542,-77.080461,2022/08/18 00:00:00+00,105133,2022/08/18 01:03:14,,2018/12/07 00:00:00+00,J1772,public,,,,
-77.0310019999999,38.906097,26,ELEC,Washington Plaza Hotel - Tesla Destination,10 Thomas Cir NW,,Washington,DC,20005,202-842-1300  877-798-3752,,Public,"24 hours daily; pay lot",,,18,,Tesla Destination,https://www.tesla.com/destination-charging,38.906097,-77.031002,2020/11/03 00:00:00+00,113646,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.026493,38.9044040000001,27,ELEC,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,1011 L St NW,,Washington,DC,20001,202-898-1200  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.904404,-77.026493,2020/11/03 00:00:00+00,113647,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,J1772 TESLA,public,,INN,Free,
-77.0315879999999,38.905092,28,ELEC,"The Donovan, a Kimpton Hotel - Tesla Destination",1155 14th St NW,,Washington,DC,20005,202-737-1200  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,3,,Tesla Destination,https://www.tesla.com/destination-charging,38.905092,-77.031588,2020/11/03 00:00:00+00,113650,2021/03/11 23:22:17,,2015/10/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.051077,38.906054,29,ELEC,Park Hyatt Washington - Tesla Destination,1201  24th St NW,,Washington,DC,20037,202-789-1234  877-798-3752,,Public,"24 hours daily; pay lot; see valet for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.906054,-77.051077,2020/11/03 00:00:00+00,113651,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.036064,38.9082030000001,30,ELEC,Kimpton Rouge Hotel - Tesla Destination,1315 16th St NW,,Washington,DC,20036,202-232-8000  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,3,,Tesla Destination,https://www.tesla.com/destination-charging,38.908203,-77.036064,2020/11/03 00:00:00+00,113652,2021/03/11 23:22:17,,2015/09/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0298999999999,38.8838000000001,31,ELEC,"Mandarin Oriental, Washington DC - Tesla Destination",1330 Maryland Ave SW,,Washington,DC,20024,202-554-8588  877-798-3752,,Public,"24 hours daily; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.8838,-77.0299,2020/11/03 00:00:00+00,113653,2021/03/11 23:22:17,,2015/11/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.032988,38.9081100000001,32,ELEC,Kimpton Mason & Rook Hotel - Tesla Destination,1430 Rhode Island Ave,,Washington,DC,20005,202-742-3100  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.90811,-77.032988,2020/11/03 00:00:00+00,113654,2021/03/11 23:22:17,,2016/07/15 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0099089999999,38.8962990000001,33,ELEC,The Kimpton George Hotel - Tesla Destination,15 E St NW,,Washington,DC,20001,202-347-4200  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.896299,-77.009909,2020/11/03 00:00:00+00,113655,2021/03/11 23:22:17,,2015/12/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0369679999999,38.906643,34,ELEC,Courtyard Washington Embassy Row - Tesla Destination,1600 Rhode Island Ave NW,,Washington,DC,20036,202-293-8000  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.906643,-77.036968,2020/11/03 00:00:00+00,113656,2021/03/11 23:22:17,,2016/01/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.0395609999999,38.9132910000001,35,ELEC,Kimpton Carlyle Hotel - Tesla Destination,1731 New Hampshire Ave NW,,Washington,DC,20009,202-234-3200  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.913291,-77.039561,2020/11/03 00:00:00+00,113657,2021/03/11 23:22:17,,2015/09/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.045281,38.9020820000001,36,ELEC,One Parking 2000 K - Tesla Destination,2000 K St NW,,Washington,DC,20006,202-298-7125  877-798-3752,,Public,"24 hours daily; pay lot",,,1,,Tesla Destination,https://www.tesla.com/destination-charging,38.902082,-77.045281,2020/11/03 00:00:00+00,113658,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,TESLA,public,,PARKING_GARAGE,Free,
