YEAR,SOURCE,GENERATION
1990,Total,102071533.0
1991,Total,102870562.0
1992,Total,86482429.0
1993,Total,87995776.0
1994,Total,88586476.0
1995,Total,102197586.0
1996,Total,118658132.0
1997,Total,122126167.0
1998,Total,102158508.0
1999,Total,117084018.0
2000,Total,108236880.0
2001,Total,83048669.0
2002,Total,102765048.0
2003,Total,100094691.0
2004,Total,102165052.0
2005,Total,101965850.0
2006,Total,108203155.0
2007,Total,106990217.0
2008,Total,110828451.0
2009,Total,104470133.0
2010,Total,103472729.0
2011,Total,115262600.82
2012,Total,116835473.0
2013,Total,114172916.23
2014,Total,116334363.0
2015,Total,109287458.0
2016,Total,114086582.0
2017,Total,115912078.0
2018,Total,116756729.0
2019,Total,106463608.0
2020,Total,116114468.0
2021,Total,110808401.0
