"Total energy consumption in the transportation sector, billion Btu",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
AK,27139.0,31895.0,34182.0,32387.0,32246.0,34379.0,36233.0,43862.0,47177.0,56517.0,76386.0,85018.0,83425.0,71354.0,76803.0,79665.0,89123.0,94045.0,97936.0,85842.0,89804.0,101238.0,102239.0,115944.0,142997.0,153931.0,150698.0,133896.0,150456.0,173382.0,168892.0,156413.0,151927.0,154297.0,157266.0,173607.0,167528.0,188588.0,192174.0,207434.0,219733.0,205464.0,209351.0,219252.0,265820.0,263684.0,265654.0,249874.0,214855.0,189767.0,193249.0,184846.0,167929.0,151923.0,155043.0,162888.0,153572.0,155868.0,163804.0,164258.0,164595.0
AL,176015.0,172023.0,179802.0,189395.0,190545.0,200727.0,206854.0,216031.0,242554.0,255625.0,268489.0,281247.0,300827.0,327548.0,350726.0,363127.0,373155.0,395543.0,405416.0,353042.0,349881.0,342116.0,333176.0,324451.0,337698.0,334813.0,349194.0,374883.0,377985.0,401324.0,397799.0,406124.0,417482.0,413632.0,431784.0,454692.0,444370.0,439699.0,447984.0,453914.0,472549.0,445444.0,472526.0,458056.0,493167.0,489519.0,496081.0,499523.0,467593.0,459056.0,478216.0,478191.0,472022.0,466359.0,465284.0,480784.0,504527.0,498739.0,488594.0,500768.0,497755.0
AR,104652.0,114214.0,116715.0,123586.0,130214.0,129593.0,136348.0,139183.0,153822.0,159784.0,166549.0,173379.0,193085.0,209852.0,210118.0,209528.0,216054.0,222603.0,229577.0,200014.0,204275.0,208967.0,208325.0,195411.0,207483.0,203444.0,207724.0,216907.0,226684.0,233710.0,228101.0,229427.0,227667.0,238191.0,255166.0,260424.0,265553.0,273172.0,275696.0,293044.0,293838.0,277440.0,285354.0,285259.0,288208.0,288737.0,288760.0,292703.0,285202.0,285162.0,290131.0,287138.0,277918.0,276347.0,280150.0,276984.0,283503.0,285148.0,286192.0,288865.0,271075.0
AZ,116689.0,121239.0,129736.0,136740.0,143720.0,139441.0,148689.0,159735.0,183623.0,192910.0,194132.0,204293.0,225168.0,243872.0,233258.0,230139.0,235052.0,253262.0,267033.0,274217.0,265931.0,269191.0,261440.0,263390.0,279869.0,293447.0,299713.0,312326.0,322840.0,322219.0,325563.0,332408.0,336940.0,352581.0,366258.0,372801.0,394105.0,394605.0,424601.0,447923.0,459904.0,475183.0,485241.0,500087.0,510232.0,532787.0,549475.0,541658.0,505233.0,476281.0,516376.0,513043.0,502603.0,510887.0,516809.0,526892.0,539916.0,543230.0,554065.0,569796.0,507885.0
CA,1224448.0,1292718.0,1316805.0,1354256.0,1421236.0,1491493.0,1592738.0,1654402.0,1779333.0,1829888.0,1832707.0,1909144.0,1932085.0,1987135.0,1899639.0,1955901.0,2065541.0,2207003.0,2373098.0,2354473.0,2363837.0,2345832.0,2230899.0,2253957.0,2373953.0,2364497.0,2447497.0,2578470.0,2730174.0,2817092.0,2834517.0,2691409.0,2681192.0,2630793.0,2752695.0,2817126.0,2866143.0,2799926.0,2807883.0,2869691.0,3017945.0,2967388.0,3130834.0,3041509.0,3194101.0,3280275.0,3328715.0,3355466.0,3145159.0,3063147.0,2934185.0,2828580.0,2773267.0,2777173.0,2798542.0,2865537.0,2970922.0,3049442.0,3062408.0,3059749.0,2355476.0
CO,104450.0,114878.0,122860.0,129258.0,133723.0,138618.0,147575.0,154378.0,172368.0,182623.0,195193.0,206248.0,224073.0,234426.0,231020.0,237340.0,250996.0,262260.0,279228.0,269764.0,251120.0,249246.0,259137.0,255521.0,266929.0,277566.0,278417.0,281120.0,272773.0,266101.0,271483.0,273879.0,278016.0,303181.0,308187.0,319506.0,328228.0,326350.0,340751.0,361725.0,366112.0,386390.0,383293.0,378054.0,416506.0,423029.0,432161.0,441970.0,425042.0,414341.0,421169.0,414063.0,410843.0,411940.0,424103.0,421452.0,430222.0,434641.0,449492.0,460280.0,378289.0
CT,116898.0,125496.0,130768.0,134750.0,137397.0,140533.0,150121.0,155282.0,168490.0,174636.0,182566.0,184357.0,194609.0,201251.0,198339.0,196470.0,201295.0,204071.0,205676.0,194654.0,185174.0,181361.0,186080.0,187348.0,195062.0,196759.0,200195.0,209097.0,216609.0,218201.0,205529.0,204102.0,205609.0,206060.0,205590.0,201738.0,213178.0,213989.0,216761.0,235201.0,227972.0,237677.0,236682.0,248599.0,284567.0,262559.0,256729.0,257284.0,242787.0,239060.0,239165.0,234687.0,228721.0,225149.0,225365.0,227198.0,229142.0,232069.0,237351.0,233235.0,196110.0
DC,28823.0,29581.0,29525.0,29602.0,31091.0,33820.0,33780.0,32459.0,32904.0,32675.0,32848.0,33280.0,33608.0,38665.0,39736.0,37069.0,38019.0,37639.0,35172.0,30307.0,27391.0,29319.0,37791.0,29066.0,28194.0,28202.0,30415.0,28683.0,29823.0,29281.0,27450.0,27452.0,27765.0,28147.0,27395.0,27211.0,26309.0,26790.0,26047.0,26684.0,27860.0,25953.0,24665.0,25449.0,27021.0,23517.0,21479.0,21279.0,18804.0,19689.0,19202.0,21211.0,19112.0,19420.0,20902.0,20276.0,21250.0,18441.0,20300.0,21802.0,16806.0
